"","vtitle","vpoint","vreview"
"1","루킹 글라스","10","난데없이 눈물이 나네.중간중간 웃음포인트도 있고연기력이 좋아서 몰입이 잘  됨."
"2","극장판 귀멸의 칼날: 무한열차편","10",""
"3","클로젯","9","내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다"
"4","수상한 가족","8","죽은사람이 불쌍하군영"
"5","톰과 제리","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
"6","극장판 귀멸의 칼날: 무한열차편","2","재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요"
"7","세자매","8","어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다."
"8","해리 포터와 마법사의 돌","10","그는 이제 첫사랑을 보내줄 수 있게 된 듯 하다"
"9","검객","10","그냥 말해뭐해,,,,"
"10","극장판 귀멸의 칼날: 무한열차편","10","재밌는데 슬퍼요ㅜㅜ 모두들 화이팅!!"
"11","루킹 글라스","10",""
"12","극장판 귀멸의 칼날: 무한열차편","9","모처럼 즐겁게 웃었어요~^^"
"13","클로젯","6","가족의 고난에도, 갈등에도 무성히 자라난 미나리밭"
"14","수상한 가족","10","칸지로사마 정말 눈물없이는 볼수가 없었습니다.근대 일본의 힘을 싸무치게 느겼습니다."
"15","톰과 제리","8","잔잔하고 배우들 연기도 좋고 재밌습니다"
"16","극장판 귀멸의 칼날: 무한열차편","6","오니니 나르 쿄오쥬로!!!! 다들 엄청 재미있게 봤다는데 난 그정도는 아니였음 그냥 전투신 작화가 오지고 렌고쿠상이 잘생김 약간 지루하기도 했음 그렇다고 눈물이 안 난건 아님 흑... 탄지로 소리지를때 존나 울어서 눈에 휴지달고 집 옴"
"17","세자매","10","다음 생은 잠자리로 태어나고 싶다   남자로 태어나기 싫다...  아빠가 되긴 더 싫다 무겁다.."
"18","해리 포터와 마법사의 돌","10","죽기전에 꼭 봐야할 한국영화다"
"19","검객","10","인생을 달관한 듯한 윤여정의 연기."
"20","극장판 귀멸의 칼날: 무한열차편","1","진실은 밝혀진다. 미화된영화"
"21","루킹 글라스","10","내..첫 사랑이 생각나는 영화...내 첫 사랑 보는것같음...내 첫사랑 얘기를 영화로 만든듯 ㅋ~"
"22","극장판 귀멸의 칼날: 무한열차편","10","아름답다 진심으로 아름답다"
"23","클로젯","10","진정한 행복에 대해 생각하게 만든다."
"24","수상한 가족","10","울림이 굉장히 크게 남았어요 .. 아직도 여운이 가시질 않네요 .."
